,Variable,Topic,What it means,Units / how to read it,Type,Original Scorecard name,Official Scorecard description
56,home_zip_poverty_rate,Enrollment & who attends,Average poverty rate in students' home ZIP codes. Based on students who received federal financial aid.,decimal (0.25 = 25%),Quantitative,POVERTY_RATE,"Poverty rate, via Census data"
57,home_zip_unemployment_rate,Enrollment & who attends,Average unemployment rate in students' home ZIP codes. Based on students who received federal financial aid.,decimal (0.25 = 25%),Quantitative,UNEMP_RATE,"Unemployment rate, via Census data"
58,home_zip_pct_bachelors,Enrollment & who attends,Average share of adults with a bachelor's degree in students' home ZIP codes. Based on students who received federal financial aid.,decimal (0.25 = 25%),Quantitative,PCT_BA,"Percent of the population from students' zip codes with a bachelor's degree over the age 25, via Census data"
59,tuition_in_state,Cost & net price,Tuition and fees for one year for in-state students.,dollars per year,Quantitative,TUITIONFEE_IN,In-state tuition and fees
60,tuition_out_of_state,Cost & net price,Tuition and fees for one year for out-of-state students.,dollars per year,Quantitative,TUITIONFEE_OUT,Out-of-state tuition and fees
61,total_cost_per_year,Cost & net price,"Average total cost for one year: tuition, fees, books, room, board, and other expenses (sticker price before aid).",dollars per year,Quantitative,COSTT4_A,Average cost of attendance (academic year institutions)
62,room_and_board,Cost & net price,Cost of living and eating on campus for one year.,dollars per year,Quantitative,ROOMBOARD_ON,Cost of attendance: on-campus room and board
63,books_and_supplies,Cost & net price,Estimated cost of books and supplies for one year.,dollars per year,Quantitative,BOOKSUPPLY,Cost of attendance: estimated books and supplies
64,net_price_public,Cost & net price,"Average price actually paid after grants and scholarships (public schools only). First-time, full-time students receiving aid.",dollars per year,Quantitative,NPT4_PUB,Average net price for Title IV institutions (public institutions)
65,net_price_public_income_0_30k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $0-30,000 (public schools only).",Quantitative,NPT41_PUB,"Average net price for $0-$30,000 family income (public institutions)"
66,net_price_public_income_30_48k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $30,001-48,000 (public schools only).",Quantitative,NPT42_PUB,"Average net price for $30,001-$48,000 family income (public institutions)"
67,net_price_public_income_48_75k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $48,001-75,000 (public schools only).",Quantitative,NPT43_PUB,"Average net price for $48,001-$75,000 family income (public institutions)"
68,net_price_public_income_75_110k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $75,001-110,000 (public schools only).",Quantitative,NPT44_PUB,"Average net price for $75,001-$110,000 family income (public institutions)"
69,net_price_public_income_110k_plus,Cost & net price,dollars per year,"Average net price after grants for students whose families earn over $110,000 (public schools only).",Quantitative,NPT45_PUB,"Average net price for $110,000+ family income (public institutions)"
70,net_price_private,Cost & net price,"Average price actually paid after grants and scholarships (private and for-profit schools only). First-time, full-time students receiving aid.",dollars per year,Quantitative,NPT4_PRIV,Average net price for Title IV institutions (private for-profit and nonprofit institutions)
71,net_price_private_income_0_30k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $0-30,000 (private and for-profit schools only).",Quantitative,NPT41_PRIV,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)"
72,net_price_private_income_30_48k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $30,001-48,000 (private and for-profit schools only).",Quantitative,NPT42_PRIV,"Average net price for $30,001-$48,000 family income (private for-profit and nonprofit institutions)"
73,net_price_private_income_48_75k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $48,001-75,000 (private and for-profit schools only).",Quantitative,NPT43_PRIV,"Average net price for $48,001-$75,000 family income (private for-profit and nonprofit institutions)"
74,net_price_private_income_75_110k,Cost & net price,dollars per year,"Average net price after grants for students whose families earn $75,001-110,000 (private and for-profit schools only).",Quantitative,NPT44_PRIV,"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)"
75,net_price_private_income_110k_plus,Cost & net price,dollars per year,"Average net price after grants for students whose families earn over $110,000 (private and for-profit schools only).",Quantitative,NPT45_PRIV,"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)"
76,faculty_salary_monthly,Faculty & money,Average monthly salary of full-time teaching faculty. ,dollars per month,Quantitative,AVGFACSAL,Average faculty salary
77,pct_faculty_full_time,Faculty & money,Share of teaching faculty who work full-time.,decimal (0.60 = 60%),Quantitative,PFTFAC,Proportion of faculty that is full-time
78,students_per_faculty,Faculty & money,"Number of students per teaching faculty member (e.g., 16 means 16 to 1).",ratio,Quantitative,STUFACR,Undergraduate student to instructional faculty ratio
79,teaching_spending_per_student,Faculty & money,Money spent on instruction per full-time-equivalent student.,dollars per student per year,Quantitative,INEXPFTE,Instructional expenditures per full-time equivalent student
80,tuition_revenue_per_student,Faculty & money,Net tuition money the school collects per full-time-equivalent student.,dollars per student per year,Quantitative,TUITFTE,Net tuition revenue per full-time equivalent student
81,endowment,Faculty & money,Value of the school's endowment (invested savings) at the end of the fiscal year. ,dollars,Quantitative,ENDOWEND,Value of school's endowment at the end of the fiscal year
82,retention_rate_4yr_school,Retention & graduation,"Share of first-time, full-time students who come back for a second year (4-year schools).",decimal (0.75 = 75%),Quantitative,RET_FT4,"First-time, full-time student retention rate at four-year institutions"
83,retention_rate_2yr_school,Retention & graduation,"Share of first-time, full-time students who come back for a second year (schools below 4-year).",decimal (0.75 = 75%),Quantitative,RET_FTL4,"First-time, full-time student retention rate at less-than-four-year institutions"
84,grad_rate_4yr_school,Retention & graduation,"Share of first-time, full-time students who finish within 6 years (150% of normal time). 4-year schools.",decimal (0.75 = 75%),Quantitative,C150_4,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion)"
85,grad_rate_2yr_school,Retention & graduation,"Share of first-time, full-time students who finish within 150% of normal time (e.g., 3 years for a 2-year degree). Schools below 4-year.",decimal (0.75 = 75%),Quantitative,C150_L4,"Completion rate for first-time, full-time students at less-than-four-year institutions (150% of expected time to completion)"
86,grad_rate_white,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for White first-time, full-time students (4-year schools). Blank when the group is small.",Quantitative,C150_4_WHITE,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for white students"
87,grad_rate_black,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for Black first-time, full-time students (4-year schools). Blank when the group is small.",Quantitative,C150_4_BLACK,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for black students"
88,grad_rate_hispanic,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for Hispanic/Latino first-time, full-time students (4-year schools). Blank when the group is small.",Quantitative,C150_4_HISP,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Hispanic students"
89,grad_rate_asian,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for Asian first-time, full-time students (4-year schools). Blank when the group is small.",Quantitative,C150_4_ASIAN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for Asian students"
90,grad_rate_native_american,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for American Indian/Alaska Native first-time, full-time students (4-year schools). Blank when the group is small.",Quantitative,C150_4_AIAN,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for American Indian/Alaska Native students"
91,grad_rate_two_or_more_races,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for two-or-more-races first-time, full-time students (4-year schools). Blank when the group is small.",Quantitative,C150_4_2MOR,"Completion rate for first-time, full-time students at four-year institutions (150% of expected time to completion) for students of two-or-more-races"
92,grad_rate_pell_4yr_school,Retention & graduation,decimal (0.60 = 60%),"6-year graduation rate for first-time, full-time Pell Grant recipients (4-year schools).",Quantitative,C150_4_PELL,"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at four-year institutions (150% of expected time to completion)"
93,grad_rate_pell_2yr_school,Retention & graduation,decimal (0.60 = 60%),"Graduation rate within 150% of normal time for first-time, full-time Pell Grant recipients (schools below 4-year).",Quantitative,C150_L4_PELL,"Completion rate for first-time, full-time students receiving a Pell Grant during their first year of college at less-than-four-year institutions (150% of expected time to completion)"
94,median_debt_graduates,Debt & repayment,Median federal student loan debt of students who graduated.,dollars,Quantitative,GRAD_DEBT_MDN,The median debt for students who have completed
95,median_debt_dropouts,Debt & repayment,Median federal student loan debt of students who left without finishing.,dollars,Quantitative,WDRAW_DEBT_MDN,The median debt for students who have not completed
96,monthly_loan_payment_graduates,Debt & repayment,Graduates' median debt turned into a monthly payment on a standard 10-year plan.,dollars per month,Quantitative,GRAD_DEBT_MDN10YR,Median loan debt of completers in monthly payments (10-year amortization plan)
97,median_debt_pell,Debt & repayment,Median federal loan debt of Pell Grant recipients (graduates and non-graduates).,dollars,Quantitative,PELL_DEBT_MDN,The median debt for Pell students
98,median_debt_no_pell,Debt & repayment,Median federal loan debt of students without a Pell Grant.,dollars,Quantitative,NOPELL_DEBT_MDN,The median debt for no-Pell students
99,median_debt_first_gen,Debt & repayment,Median federal loan debt of first-generation students.,dollars,Quantitative,FIRSTGEN_DEBT_MDN,The median debt for first-generation students
100,median_debt_not_first_gen,Debt & repayment,Median federal loan debt of students who are not first-generation.,dollars,Quantitative,NOTFIRSTGEN_DEBT_MDN,The median debt for not-first-generation students
101,loan_default_rate,Debt & repayment,Share of borrowers who defaulted (stopped paying) within 2 years of starting repayment.,decimal (0.08 = 8%),Quantitative,CDR2,Two-year cohort default rate
102,pct_repaying_loans_3yrs,Debt & repayment,Share of borrowers who are not in default and have lowered their balance 3 years after starting repayment.,decimal (0.08 = 8%),Quantitative,RPY_3YR_RT,"Fraction of repayment cohort who are not in default, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)"
103,median_earnings_6yrs,Earnings,Median yearly earnings 6 years after starting at the school. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.,dollars per year,Quantitative,MD_EARN_WNE_P6,Median earnings of students working and not enrolled 6 years after entry
104,median_earnings_10yrs,Earnings,Median yearly earnings 10 years after starting at the school. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.,dollars per year,Quantitative,MD_EARN_WNE_P10,Median earnings of students working and not enrolled 10 years after entry
105,earnings_25th_pct_10yrs,Earnings,25th percentile of yearly earnings 10 years after starting (a lower earner at this school). Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.,dollars per year,Quantitative,PCT25_EARN_WNE_P10,25th percentile of earnings of students working and not enrolled 10 years after entry
106,earnings_75th_pct_10yrs,Earnings,75th percentile of yearly earnings 10 years after starting (a higher earner at this school). Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.,dollars per year,Quantitative,PCT75_EARN_WNE_P10,75th percentile of earnings of students working and not enrolled 10 years after entry
107,pct_earning_more_than_hs_grad,Earnings,Share of former students earning more than a typical high school graduate 6 years after starting. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.,decimal (0.60 = 60%),Quantitative,GT_THRESHOLD_P6,Share of students earning more than a high school graduate (threshold earnings) 6 years after entry
108,median_earnings_10yrs_low_income,Earnings,"Median earnings 10 years after starting, for students from families earning $0-30,000. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.",dollars per year,Quantitative,MD_EARN_WNE_INC1_P10,"Median earnings of students working and not enrolled 10 years after entry in the lowest income tercile $0-$30,000"
109,median_earnings_10yrs_middle_income,Earnings,"Median earnings 10 years after starting, for students from families earning $30,001-75,000. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.",dollars per year,Quantitative,MD_EARN_WNE_INC2_P10,"Median earnings of students working and not enrolled 10 years after entry in the middle income tercile $30,001-$75,000"
110,median_earnings_10yrs_high_income,Earnings,"Median earnings 10 years after starting, for students from families earning over $75,000. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.",dollars per year,Quantitative,MD_EARN_WNE_INC3_P10,"Median earnings of students working and not enrolled 10 years after entry in the highest income tercile $75,001+"
111,median_earnings_10yrs_women,Earnings,"Median earnings 10 years after starting, for students who are not male (Scorecard's ""not male"" group). Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.",dollars per year,Quantitative,MD_EARN_WNE_MALE0_P10,Median earnings of non-male students working and not enrolled 10 years after entry
112,median_earnings_10yrs_men,Earnings,"Median earnings 10 years after starting, for male students. Includes everyone who started at the school (graduates and non-graduates) who is working and not enrolled; federal aid recipients only.",dollars per year,Quantitative,MD_EARN_WNE_MALE1_P10,Median earnings of male students working and not enrolled 10 years after entry
113,pct_degrees_computer_science,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in computer and information sciences.,Quantitative,PCIP11,Percentage of degrees awarded in Computer And Information Sciences And Support Services.
114,pct_degrees_engineering,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in engineering.,Quantitative,PCIP14,Percentage of degrees awarded in Engineering.
115,pct_degrees_biology,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in biological and biomedical sciences.,Quantitative,PCIP26,Percentage of degrees awarded in Biological And Biomedical Sciences.
116,pct_degrees_math_stats,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in mathematics and statistics.,Quantitative,PCIP27,Percentage of degrees awarded in Mathematics And Statistics.
117,pct_degrees_psychology,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in psychology.,Quantitative,PCIP42,Percentage of degrees awarded in Psychology.
118,pct_degrees_social_sciences,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in social sciences.,Quantitative,PCIP45,Percentage of degrees awarded in Social Sciences.
119,pct_degrees_arts,Degrees by field,decimal (0.10 = 10%),Share of the school's degrees and certificates awarded in visual and performing arts.,Quantitative,PCIP50,Percentage of degrees awarded in Visual And Performing Arts.
120,pct_degrees_health,Degrees by field,decimal (0.10 = 10%),"Share of the school's degrees and certificates awarded in health professions (nursing, medical assisting, etc.).",Quantitative,PCIP51,Percentage of degrees awarded in Health Professions And Related Programs.
121,pct_degrees_business,Degrees by field,decimal (0.10 = 10%),"Share of the school's degrees and certificates awarded in business, management, and marketing.",Quantitative,PCIP52,"Percentage of degrees awarded in Business, Management, Marketing, And Related Support Services."
122,ownership,Type of school,"Readable version of ownership_code: Public, Private nonprofit, For-profit.",text label,Category,(made from CONTROL),
123,school_level,Type of school,"Readable version of school_level_code: 4-year, 2-year, Less than 2-year.",text label,Category,(made from ICLEVEL),
124,main_degree,Type of school,"Readable version of main_degree_code: Certificate, Associate, Bachelor's, Graduate, Not classified.",text label,Category,(made from PREDDEG),
